Initialized Particles
Number of particles: 100
GPS: [6.3789, 1.8236, -0.0067]
STDEV: [0.3, 0.3, 0.01]
Particle 0; [6.34231, 2.02889]; W = 1
Particle 1; [6.05285, 1.50104]; W = 1
Particle 2; [6.38898, 1.96236]; W = 1
Particle 3; [6.22091, 1.88381]; W = 1
Particle 4; [6.68519, 1.78525]; W = 1
Particle 5; [6.61392, 1.72256]; W = 1
Particle 6; [6.09815, 1.59178]; W = 1
Particle 7; [5.57719, 1.66713]; W = 1
Particle 8; [6.11051, 1.7682]; W = 1
Particle 9; [6.37495, 1.61976]; W = 1
Particle 10; [6.49197, 2.24429]; W = 1
Particle 11; [6.15412, 2.06537]; W = 1
Particle 12; [6.74236, 1.73807]; W = 1
Particle 13; [6.39284, 2.16886]; W = 1
Particle 14; [6.23761, 2.32558]; W = 1
Particle 15; [6.40058, 1.82053]; W = 1
Particle 16; [6.19681, 1.52716]; W = 1
Particle 17; [5.9, 2.06274]; W = 1
Particle 18; [6.08738, 1.87122]; W = 1
Particle 19; [6.84977, 1.77503]; W = 1
Particle 20; [6.54929, 1.97828]; W = 1
Particle 21; [6.37466, 1.46434]; W = 1
Particle 22; [5.94818, 2.1059]; W = 1
Particle 23; [6.34469, 1.75795]; W = 1
Particle 24; [6.33845, 2.04743]; W = 1
Particle 25; [6.04862, 1.79887]; W = 1
Particle 26; [6.38455, 1.77625]; W = 1
Particle 27; [6.72142, 2.22191]; W = 1
Particle 28; [6.41868, 1.86168]; W = 1
Particle 29; [6.3966, 1.26787]; W = 1
Particle 30; [6.65792, 1.60103]; W = 1
Particle 31; [6.67617, 1.83639]; W = 1
Particle 32; [6.61164, 2.22719]; W = 1
Particle 33; [5.52193, 1.74427]; W = 1
Particle 34; [6.20484, 2.09814]; W = 1
Particle 35; [6.85983, 1.97095]; W = 1
Particle 36; [6.54451, 1.54596]; W = 1
Particle 37; [6.33776, 1.52691]; W = 1
Particle 38; [6.26388, 1.71638]; W = 1
Particle 39; [6.73993, 1.72238]; W = 1
Particle 40; [6.73823, 2.03285]; W = 1
Particle 41; [6.54312, 2.22027]; W = 1
Particle 42; [6.39996, 2.32069]; W = 1
Particle 43; [6.07052, 2.03907]; W = 1
Particle 44; [5.81893, 2.56475]; W = 1
Particle 45; [6.55188, 2.06371]; W = 1
Particle 46; [5.73883, 1.77703]; W = 1
Particle 47; [6.0757, 1.74378]; W = 1
Particle 48; [6.99058, 1.5017]; W = 1
Particle 49; [6.22891, 1.92087]; W = 1
Particle 50; [6.3326, 2.29472]; W = 1
Particle 51; [6.73884, 1.70501]; W = 1
Particle 52; [6.453, 1.82607]; W = 1
Particle 53; [6.50005, 1.75774]; W = 1
Particle 54; [6.81257, 1.57514]; W = 1
Particle 55; [6.64173, 1.39742]; W = 1
Particle 56; [6.23009, 2.49759]; W = 1
Particle 57; [6.12983, 1.07518]; W = 1
Particle 58; [5.83681, 1.82036]; W = 1
Particle 59; [6.62863, 1.67634]; W = 1
Particle 60; [6.32341, 1.53915]; W = 1
Particle 61; [6.31171, 1.91038]; W = 1
Particle 62; [6.45233, 2.41814]; W = 1
Particle 63; [6.49102, 1.65063]; W = 1
Particle 64; [6.29968, 2.09164]; W = 1
Particle 65; [6.00193, 1.97302]; W = 1
Particle 66; [6.60582, 1.78782]; W = 1
Particle 67; [6.6239, 1.83762]; W = 1
Particle 68; [5.98728, 1.73035]; W = 1
Particle 69; [6.18989, 1.73204]; W = 1
Particle 70; [6.33391, 1.79331]; W = 1
Particle 71; [6.3902, 1.83866]; W = 1
Particle 72; [6.16258, 1.74239]; W = 1
Particle 73; [6.53904, 1.57965]; W = 1
Particle 74; [6.61857, 1.76897]; W = 1
Particle 75; [6.68869, 1.99602]; W = 1
Particle 76; [5.87569, 1.86693]; W = 1
Particle 77; [6.19119, 1.37576]; W = 1
Particle 78; [6.14873, 1.51133]; W = 1
Particle 79; [5.70861, 1.98781]; W = 1
Particle 80; [6.75918, 2.16008]; W = 1
Particle 81; [6.38989, 1.38803]; W = 1
Particle 82; [6.45672, 1.6078]; W = 1
Particle 83; [6.22398, 1.40095]; W = 1
Particle 84; [6.40376, 1.95269]; W = 1
Particle 85; [6.25178, 1.22133]; W = 1
Particle 86; [6.55649, 1.91258]; W = 1
Particle 87; [6.43627, 2.20909]; W = 1
Particle 88; [6.73867, 1.65968]; W = 1
Particle 89; [6.69528, 1.49601]; W = 1
Particle 90; [6.26398, 1.78731]; W = 1
Particle 91; [6.39977, 1.84612]; W = 1
Particle 92; [6.48548, 1.45037]; W = 1
Particle 93; [6.72627, 1.84492]; W = 1
Particle 94; [6.55154, 2.0597]; W = 1
Particle 95; [6.97065, 2.3776]; W = 1
Particle 96; [6.38606, 2.46827]; W = 1
Particle 97; [6.22693, 2.12432]; W = 1
Particle 98; [6.34038, 1.51849]; W = 1
Particle 99; [6.95599, 2.11108]; W = 1
